pth,label
anger/image0000006.jpg,surprise
anger/image0000007.jpg,anger
anger/image0000012.jpg,anger
anger/image0000035.jpg,fear
anger/image0000060.jpg,anger
anger/image0000061.jpg,anger
anger/image0000066.jpg,disgust
anger/image0000068.jpg,anger
anger/image0000106.jpg,anger
anger/image0000132.jpg,anger
anger/image0000138.jpg,anger
anger/image0000182.jpg,anger
anger/image0000195.jpg,anger
anger/image0000213.jpg,anger
anger/image0000228.jpg,anger
anger/image0000294.jpg,anger
anger/image0000333.jpg,anger
anger/image0000343.jpg,disgust
anger/image0000346.jpg,fear
anger/image0000356.jpg,sad
anger/image0000368.jpg,disgust
anger/image0000371.jpg,anger
anger/image0000374.jpg,disgust
anger/image0000390.jpg,anger
anger/image0000399.jpg,anger
anger/image0000400.jpg,neutral
anger/image0000407.jpg,anger
anger/image0000415.jpg,anger
anger/image0000416.jpg,anger
anger/image0000441.jpg,sad
anger/image0000450.jpg,anger
anger/image0000463.jpg,anger
anger/image0000470.jpg,surprise
anger/image0000511.jpg,anger
anger/image0000513.jpg,anger
anger/image0000546.jpg,anger
anger/image0000593.jpg,anger
anger/image0000602.jpg,anger
anger/image0000643.jpg,anger
anger/image0000690.jpg,sad
anger/image0000697.jpg,disgust
anger/image0000722.jpg,surprise
anger/image0000723.jpg,anger
anger/image0000724.jpg,anger
anger/image0000758.jpg,anger
anger/image0000776.jpg,anger
anger/image0000825.jpg,sad
anger/image0000908.jpg,anger
anger/image0000923.jpg,disgust
anger/image0000932.jpg,anger
anger/image0000949.jpg,anger
anger/image0000963.jpg,anger
anger/image0000965.jpg,anger
anger/image0000972.jpg,anger
anger/image0000996.jpg,sad
anger/image0001015.jpg,disgust
anger/image0001021.jpg,anger
anger/image0001061.jpg,anger
anger/image0001062.jpg,anger
anger/image0001063.jpg,fear
anger/image0001066.jpg,anger
anger/image0001086.jpg,anger
anger/image0001113.jpg,anger
anger/image0001120.jpg,anger
anger/image0001152.jpg,anger
anger/image0001161.jpg,anger
anger/image0001241.jpg,anger
anger/image0001244.jpg,anger
anger/image0001258.jpg,anger
anger/image0001283.jpg,sad
anger/image0001296.jpg,anger
anger/image0001298.jpg,anger
anger/image0001305.jpg,anger
anger/image0001314.jpg,anger
anger/image0001322.jpg,contempt
anger/image0001341.jpg,anger
anger/image0001348.jpg,anger
anger/image0001375.jpg,fear
anger/image0001453.jpg,neutral
anger/image0001470.jpg,anger
anger/image0001516.jpg,anger
anger/image0001521.jpg,contempt
anger/image0001523.jpg,anger
anger/image0001524.jpg,anger
anger/image0001527.jpg,anger
anger/image0001529.jpg,anger
anger/image0001538.jpg,anger
anger/image0001555.jpg,anger
anger/image0001568.jpg,anger
anger/image0001595.jpg,contempt
anger/image0001600.jpg,anger
anger/image0001615.jpg,disgust
anger/image0001623.jpg,anger
anger/image0001636.jpg,surprise
anger/image0001671.jpg,anger
anger/image0001688.jpg,anger
anger/image0001741.jpg,anger
anger/image0001765.jpg,disgust
anger/image0001773.jpg,disgust
anger/image0001778.jpg,disgust
anger/image0001794.jpg,anger
anger/image0001833.jpg,anger
anger/image0001849.jpg,anger
anger/image0001857.jpg,disgust
anger/image0001861.jpg,anger
anger/image0001892.jpg,anger
anger/image0001916.jpg,sad
anger/image0001933.jpg,anger
anger/image0001934.jpg,disgust
anger/image0001949.jpg,anger
anger/image0001956.jpg,happy
anger/image0001974.jpg,disgust
anger/image0001990.jpg,anger
anger/image0002009.jpg,anger
anger/image0002024.jpg,anger
anger/image0002046.jpg,disgust
anger/image0002048.jpg,anger
anger/image0002049.jpg,anger
anger/image0002080.jpg,surprise
anger/image0002102.jpg,anger
anger/image0002105.jpg,surprise
anger/image0002106.jpg,anger
anger/image0002140.jpg,anger
anger/image0002143.jpg,anger
anger/image0002156.jpg,anger
anger/image0002205.jpg,anger
anger/image0002220.jpg,anger
anger/image0002230.jpg,anger
anger/image0002243.jpg,sad
anger/image0002259.jpg,disgust
anger/image0002262.jpg,fear
anger/image0002272.jpg,anger
anger/image0002281.jpg,anger
anger/image0002301.jpg,disgust
anger/image0002329.jpg,neutral
anger/image0002340.jpg,surprise
anger/image0002350.jpg,anger
anger/image0002366.jpg,anger
anger/image0002369.jpg,anger
anger/image0002373.jpg,anger
anger/image0002378.jpg,neutral
anger/image0002388.jpg,anger
anger/image0002412.jpg,sad
anger/image0002420.jpg,anger
anger/image0002429.jpg,anger
anger/image0002461.jpg,anger
anger/image0002467.jpg,anger
anger/image0002475.jpg,disgust
anger/image0002506.jpg,anger
anger/image0002507.jpg,anger
anger/image0002520.jpg,disgust
anger/image0002524.jpg,sad
anger/image0002532.jpg,anger
anger/image0002539.jpg,anger
anger/image0002578.jpg,anger
anger/image0002608.jpg,anger
anger/image0002635.jpg,anger
anger/image0002636.jpg,anger
anger/image0002639.jpg,anger
anger/image0002667.jpg,anger
anger/image0002685.jpg,anger
anger/image0002705.jpg,neutral
anger/image0002706.jpg,anger
anger/image0002725.jpg,anger
anger/image0002737.jpg,anger
anger/image0002740.jpg,fear
anger/image0002761.jpg,anger
anger/image0002797.jpg,anger
anger/image0002800.jpg,anger
anger/image0002830.jpg,neutral
anger/image0002840.jpg,sad
anger/image0002894.jpg,anger
anger/image0002928.jpg,disgust
