subDirectory_filePath,expression
anger/image0000006.jpg,0
anger/image0000007.jpg,1
anger/image0000012.jpg,1
anger/image0000035.jpg,2
anger/image0000060.jpg,1
anger/image0000061.jpg,1
anger/image0000066.jpg,3
anger/image0000068.jpg,1
anger/image0000106.jpg,1
anger/image0000132.jpg,1
anger/image0000138.jpg,1
anger/image0000182.jpg,1
anger/image0000195.jpg,1
anger/image0000213.jpg,1
anger/image0000228.jpg,1
anger/image0000294.jpg,1
anger/image0000333.jpg,1
anger/image0000343.jpg,3
anger/image0000346.jpg,2
anger/image0000356.jpg,4
anger/image0000368.jpg,3
anger/image0000371.jpg,1
anger/image0000374.jpg,3
anger/image0000390.jpg,1
anger/image0000399.jpg,1
anger/image0000400.jpg,5
anger/image0000407.jpg,1
anger/image0000415.jpg,1
anger/image0000416.jpg,1
anger/image0000441.jpg,4
anger/image0000450.jpg,1
anger/image0000463.jpg,1
anger/image0000470.jpg,0
anger/image0000511.jpg,1
anger/image0000513.jpg,1
anger/image0000546.jpg,1
anger/image0000593.jpg,1
anger/image0000602.jpg,1
anger/image0000643.jpg,1
anger/image0000690.jpg,4
anger/image0000697.jpg,3
anger/image0000722.jpg,0
anger/image0000723.jpg,1
anger/image0000724.jpg,1
anger/image0000758.jpg,1
anger/image0000776.jpg,1
anger/image0000825.jpg,4
anger/image0000908.jpg,1
anger/image0000923.jpg,3
anger/image0000932.jpg,1
anger/image0000949.jpg,1
anger/image0000963.jpg,1
anger/image0000965.jpg,1
anger/image0000972.jpg,1
anger/image0000996.jpg,4
anger/image0001015.jpg,3
anger/image0001021.jpg,1
anger/image0001061.jpg,1
anger/image0001062.jpg,1
anger/image0001063.jpg,2
anger/image0001066.jpg,1
anger/image0001086.jpg,1
anger/image0001113.jpg,1
anger/image0001120.jpg,1
anger/image0001152.jpg,1
anger/image0001161.jpg,1
anger/image0001241.jpg,1
anger/image0001244.jpg,1
anger/image0001258.jpg,1
anger/image0001283.jpg,4
anger/image0001296.jpg,1
anger/image0001298.jpg,1
anger/image0001305.jpg,1
anger/image0001314.jpg,1
anger/image0001322.jpg,6
anger/image0001341.jpg,1
anger/image0001348.jpg,1
anger/image0001375.jpg,2
anger/image0001453.jpg,5
anger/image0001470.jpg,1
anger/image0001516.jpg,1
anger/image0001521.jpg,6
anger/image0001523.jpg,1
anger/image0001524.jpg,1
anger/image0001527.jpg,1
anger/image0001529.jpg,1
anger/image0001538.jpg,1
anger/image0001555.jpg,1
anger/image0001568.jpg,1
anger/image0001595.jpg,6
anger/image0001600.jpg,1
anger/image0001615.jpg,3
anger/image0001623.jpg,1
anger/image0001636.jpg,0
anger/image0001671.jpg,1
anger/image0001688.jpg,1
anger/image0001741.jpg,1
anger/image0001765.jpg,3
anger/image0001773.jpg,3
anger/image0001778.jpg,3
anger/image0001794.jpg,1
anger/image0001833.jpg,1
anger/image0001849.jpg,1
anger/image0001857.jpg,3
anger/image0001861.jpg,1
